"Date","R15_Surf","R15_RZ","R51_Surf","R51_RZ","R53_Surf","R53_RZ","R55_Surf","R55_RZ","R60_Surf","R60_RZ","R61_Surf","R61_RZ","R74_Surf","R74_RZ","SurfaceM"
2008-11-04,0.290406944444444,0.653100389844122,0.164965972222222,0.331576598436187,0.22451976744186,0.483022809617342,0.132804166666667,0.344292810345339,0.231340277777778,0.357986804169439,0.133200694444444,0.450471161181867,0.141976388888889,0.24837339210468,NA
2008-11-05,0.29011875,0.652950402471976,0.166146527777778,0.332994825140849,0.224719444444444,0.48238552602474,0.133525694444444,0.344388899718845,0.231201388888889,0.357183318548089,0.133946527777778,0.451386345340207,0.142658333333333,0.24883704812597,0.0675
2008-11-06,0.289556944444444,0.652874686980969,0.166921527777778,0.334288419396065,0.224659027777778,0.481692725930603,0.133795138888889,0.344969647282458,0.230744444444444,0.356481943520367,0.13459375,0.452257475415872,0.142641666666667,0.248802395209581,0.0775
2008-11-07,0.2889625,0.652779113960321,0.167832638888889,0.335534200363578,0.224853472222222,0.481322687877271,0.134454166666667,0.345488122598869,0.230355555555556,0.355808752864641,0.135351388888889,0.45337097063382,0.142811805555556,0.250467814371257,0.0715
2008-11-08,0.291525,0.65264351050883,0.168020833333333,0.336598764312223,0.225690277777778,0.481226153660628,0.134021527777778,0.345941806526132,0.231130555555556,0.356653821985658,0.135739583333333,0.453917824575464,0.144596527777778,0.252449961188734,0.0685
2008-11-09,0.291228472222222,0.652256960838832,0.167511111111111,0.337216668429039,0.224610416666667,0.480760384636395,0.132882638888889,0.346478542678738,0.230496527777778,0.356731906557256,0.136802083333333,0.454228071331273,0.143715277777778,0.252695303836771,0.086
2008-11-10,0.288663888888889,0.650340380280635,0.166998611111111,0.337682596801586,0.223089583333333,0.478999733008335,0.131934027777778,0.346328491872118,0.228992361111111,0.354012807717898,0.137229861111111,0.454421784148232,0.142080555555556,0.250043662674651,0.0795
2008-11-11,0.286520833333333,0.647056978287965,0.166806944444444,0.337907084548266,0.221886111111111,0.477234821350758,0.131159027777778,0.34613461505863,0.227768055555556,0.351411066755378,0.138744444444444,0.45426662166195,0.140994444444444,0.247687957418496,NA
2008-11-12,0.285347222222222,0.645691552532155,0.166770833333333,0.337892814787008,0.221429861111111,0.475849208709851,0.130841666666667,0.34595084424216,0.226838194444444,0.349515783248318,0.1407125,0.453962155425114,0.140483333333333,0.246382235528942,0.082
2008-11-13,0.303497916666667,0.660947049719979,0.168048611111111,0.338400158472356,0.229511805555556,0.486810361739892,0.135055555555556,0.347261448440698,0.242836111111111,0.375410752568936,0.151134722222222,0.45910958648607,0.150615972222222,0.275934242625859,0.091
